지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 나타난날(yyyymmdd),최고기온(°C),최고기온 나타난날(yyyymmdd),평균최저기온(°C),평균최고기온(°C)
254,순창군,2017,12.2,-14.8,20170123,36.7,20170806,6.6,18.7
254,순창군,2018,12.8,-16.2,20180112,38.1,20180727,7.4,19.2
254,순창군,2019,13,-10.7,20190127,36,20190805,7.6,19.5
254,순창군,2020,13,-12.6,20201231,34.8,20200820,8,18.9
255,북창원,2017,14.7,-9,20170115,37.2,20170806,10.1,20.3
255,북창원,2018,14.4,-11.7,20180127,37.3,20180720,10,19.8
255,북창원,2019,14.2,-6.8,20191206,34.9,20190813,9.7,19.8
255,북창원,2020,15.2,-7.7,20201231,36.9,20200820,10.9,20.5
257,양산시,2017,15.1,-8.5,20171214,38.7,20170807,10.1,21
257,양산시,2018,14.8,-11.1,20180127,39.1,20180814,10,20.5
257,양산시,2019,15.4,-6,20190127,36.9,20190804,10.6,21.3
257,양산시,2020,15,-8.2,20201231,37.8,20200820,10.4,20.7
258,보성군,2017,14.1,-8.7,20171214,35.5,20170724,8.8,19.9
258,보성군,2018,14.1,-11.6,20180112,36.2,20180805,9.1,19.4
258,보성군,2019,14.3,-8.3,20190104,35.1,20190814,9.3,19.8
258,보성군,2020,14.6,-7.6,20201231,35.1,20200819,9.8,19.8
259,강진군,2017,,-7.3,20170128,37,20170806,8.8,19.7
259,강진군,2018,14,-12.7,20180112,37.4,20180727,9.3,19.5
259,강진군,2019,14.3,-6,20190104,35,20190806,9.4,19.8
259,강진군,2020,14.2,-7.6,20201231,34.3,20200818,9.6,19.5
260,장흥,2017,13.8,-8.8,20171214,35.6,20170806,8.2,19.8
260,장흥,2018,13.8,-13.2,20180112,36.8,20180727,8.5,19.5
260,장흥,2019,14.2,-8.2,20190104,34.5,20190814,8.8,20
260,장흥,2020,13.7,-9.3,20201216,34.4,20200819,8.6,19.2
261,해남,2017,13.4,-10.4,20170128,37.2,20170806,7.6,19.5
261,해남,2018,13.2,-14,20180112,36.6,20180727,7.9,19
261,해남,2019,13.2,-10,20190104,34.4,20190802,7.8,19.1
261,해남,2020,13.4,-10.7,20201231,34.2,20200821,8.3,18.8
262,고흥,2017,13.7,-10.6,20171214,36,20170806,8.4,19.5
262,고흥,2018,13.6,-12.6,20180127,35.7,20180727,8.5,19.1
262,고흥,2019,13.9,-7.5,20190212,35.4,20190814,8.7,19.4
262,고흥,2020,13.6,-8.8,20201231,34.2,20200820,8.7,19
263,의령군,2017,13.6,-12.2,20171214,37.6,20170806,7.4,20.9
263,의령군,2018,13.5,-14.4,20180127,38.7,20180727,7.6,20.4
263,의령군,2019,14,-10.2,20190127,36.1,20190802,8.2,20.9
263,의령군,2020,13.9,-11.3,20201217,36.5,20200819,8.3,20.7
264,함양군,2017,12.8,-14,20171214,36.3,20170806,6.6,20
264,함양군,2018,12.7,-16,20180127,37.8,20180727,6.7,19.6
264,함양군,2019,13.2,-11,20190127,35.1,20190802,7.3,20
264,함양군,2020,13,-10.4,20200206,36.3,20200820,7.5,19.7
266,광양시,2017,14.9,-7.6,20170115,37,20170807,10.6,20.1
266,광양시,2018,14.8,-11.3,20180127,37.6,20180805,10.7,19.8
266,광양시,2019,15.4,-5.6,20190116,34.8,20190802,11.2,20.5
266,광양시,2020,15,-7.3,20201231,35.7,20200819,11,20
268,진도군,2017,14,-6.1,20170213,34.8,20170805,9.4,18.7
268,진도군,2018,14.1,-9.5,20180124,35.5,20180822,9.8,18.5
268,진도군,2019,14.2,-5.3,20190119,33.3,20190804,9.8,18.6
268,진도군,2020,14.2,-6.3,20201231,33,20200825,10.1,18.5
271,봉화,2017,10.3,-17.9,20170125,34.6,20170806,3.9,17.4
271,봉화,2018,10.3,-21.7,20180127,37.8,20180802,4,17.4
271,봉화,2019,11,-15.6,20190109,34.5,20190802,4.8,18.1
271,봉화,2020,10.8,-17.7,20201217,32.8,20200609,5.3,16.9
272,영주,2017,11.6,-15.4,20171214,36.4,20170805,5.9,17.7
272,영주,2018,11.6,-19,20180127,38,20180801,5.9,17.6
272,영주,2019,12.1,-13.5,20190109,36.2,20190805,6.4,18.1
272,영주,2020,12,-14.3,20201231,33.5,20200609,6.7,17.6
273,문경,2017,12.4,-13.1,20171214,36,20170806,7,18.5
273,문경,2018,12.4,-16.7,20180127,38.1,20180814,7,18.4
273,문경,2019,12.9,-10.5,20190109,35.5,20190805,7.4,18.9
273,문경,2020,12.5,-13.3,20201231,34,20200609,7.5,18
276,청송군,2017,11.2,-16.3,20171214,36.9,20170806,5,18.5
276,청송군,2018,11.2,-19.8,20180127,38.1,20180803,5.3,18.1
276,청송군,2019,11.7,-13.5,20190127,35.5,20190804,5.8,18.5
276,청송군,2020,11.5,-16.3,20201217,36.4,20200609,5.7,18.5
277,영덕,2017,13.7,-9.4,20171212,38.1,20170713,8.8,19.3
277,영덕,2018,13.4,-14.6,20180126,39.9,20180805,8.6,18.9
277,영덕,2019,14.3,-6,20190116,35.8,20190804,9.6,19.9
277,영덕,2020,13.5,-12.6,20201231,35.4,20200819,9.1,18.7
278,의성,2017,11.9,-16.7,20170115,36.6,20170806,5,19.9
278,의성,2018,12.4,-19.2,20180127,40.4,20180801,5.7,20.2
278,의성,2019,12.9,-13.7,20190103,37.6,20190805,6.3,20.7
278,의성,2020,12.3,-15.9,20201217,35.9,20200609,6.1,19.5
279,구미,2017,13.7,-10.8,20171214,36.2,20170806,8.4,19.7
279,구미,2018,13.6,-14.6,20180127,38.1,20180801,8.5,19.3
279,구미,2019,14.2,-7.5,20190104,35.9,20190805,9.1,19.9
279,구미,2020,13.9,-10.1,20201231,35.1,20200609,9,19.6
281,영천,2017,13.5,-13.4,20171214,38.9,20170713,7.5,20.2
281,영천,2018,13.3,-14.8,20180127,39.1,20180804,7.6,19.8
281,영천,2019,14.1,-10.2,20190127,37.2,20190802,8.3,20.5
281,영천,2020,13.3,-11.3,20201231,35.6,20200819,7.9,19.3
283,경주시,2017,13.7,-10.2,20171212,39.7,20170713,7.9,20.3
283,경주시,2018,13.5,-13,20180126,39.8,20180804,8.1,19.7
283,경주시,2019,14.1,-8.3,20190127,37.5,20190802,8.7,20.5
283,경주시,2020,13.9,-10.5,20201231,36.9,20200819,8.7,19.9
284,거창,2017,12.2,-13.9,20171214,36.2,20170806,6,19.3
284,거창,2018,12.3,-16.4,20180127,37.1,20180727,6.2,19.1
284,거창,2019,12.7,-12,20190127,34.6,20190804,6.7,19.6
284,거창,2020,12.5,-12,20200206,36.2,20200819,6.8,19.1
285,합천,2017,13.5,-13,20171214,38.4,20170805,7.2,20.7
285,합천,2018,13.3,-15.2,20180207,39.5,20180726,7.3,20.3
285,합천,2019,13.8,-10.7,20190127,36.6,20190805,8,20.9
285,합천,2020,13.5,-10.6,20201217,35.6,20200819,8.1,20
288,밀양,2017,14.2,-11.4,20170115,39,20170806,8.1,21.2
288,밀양,2018,13.8,-13.7,20180206,38.9,20180801,8.2,20.3
288,밀양,2019,14.3,-9.4,20190127,36.6,20190813,8.6,20.8
288,밀양,2020,14.1,-9.9,20200206,36.2,20200820,8.7,20.3
289,산청,2017,13.3,-12.6,20171214,36.5,20170806,7.8,19.9
289,산청,2018,13.1,-14.6,20180127,37.9,20180727,7.8,19.5
